comparison,objective,training_seed,channel_repeats_averaged,pairwise_common_clean_correct_sample_repeat_pairs,pga_both_success_sample_repeat_pairs,pga_both_success_rate_repeat_mean,pga_off_only_success_sample_repeat_pairs,pga_off_only_success_rate_repeat_mean,pga_on_only_success_sample_repeat_pairs,pga_on_only_success_rate_repeat_mean,pga_neither_success_sample_repeat_pairs,pga_neither_success_rate_repeat_mean,mean_delta_ln_margin,mean_delta_ln_gradient,mean_delta_ln_linearized_distance,mean_delta_ln_distance_from_margin_minus_gradient,mean_identity_residual,mean_complete_case_delta_ln_pga_attack_l2,mean_delta_ln_semantic_spectral_norm,delta_pga_operational_auc_normalized_all_lower_bound,delta_pga_operational_auc_normalized_all_upper_bound,delta_pga_operational_auc_normalized_pairwise_common_clean_correct_lower_bound,delta_pga_operational_auc_normalized_pairwise_common_clean_correct_upper_bound,delta_clean_semantic_accuracy
R1_minus_R0,reconstruction,2026,3,403,403,1.0,0,0.0,0,0.0,0,0.0,0.9991345026369499,-0.7395305282924035,1.7386650303236377,1.7386650309293534,-6.05715736937676e-10,1.0063810380550309,-0.684572628216875,0.1338,0.1338,0.15554440320516416,0.15554440320516416,0.5663333333333334
R1_minus_R0,reconstruction,2027,3,461,461,1.0,0,0.0,0,0.0,0,0.0,0.893034031425651,-0.847627660112734,1.7406616928849057,1.740661691538385,1.3465207218431446e-09,1.0341092255903028,-0.8158816853505401,0.11937500000000002,0.11937500000000002,0.1671797593772116,0.1671797593772116,0.5036666666666666
R1_minus_R0,reconstruction,2028,3,529,529,1.0,0,0.0,0,0.0,0,0.0,0.934798410018132,-1.0453772387867033,1.9801756454367705,1.9801756488048352,-3.3680647114232053e-09,1.175826103691788,-1.0083505825974646,0.13156249999999997,0.13156249999999997,0.18200632022471913,0.18200632022471913,0.515
C1_minus_C0,classification,2026,3,1337,1337,1.0,0,0.0,0,0.0,0,0.0,-0.05921808531351845,-0.5593444888807544,0.5001264033101465,0.5001264035672359,-2.5708946837706177e-10,0.456053160705222,-0.5265629492997884,0.046775,0.046775,0.0859750659968381,0.0859750659968381,0.013000000000000012
C1_minus_C0,classification,2027,3,1497,1497,1.0,0,0.0,0,0.0,0,0.0,0.16929082948604737,-0.1978970368088384,0.3671878660872174,0.3671878662948858,-2.0766839522569838e-10,0.34987942591887317,-0.1565785273662844,0.04786666666666664,0.04786666666666664,0.06866031703973227,0.06866031703973227,0.05733333333333335
C1_minus_C0,classification,2028,3,1474,1474,1.0,0,0.0,0,0.0,0,0.0,0.135616945740583,-0.19859691575308466,0.3342138621974197,0.33421386149366766,7.037520432701212e-10,0.3101998936663675,-0.1839974843851326,0.03692083333333333,0.03692083333333333,0.060645225573901174,0.060645225573901174,0.025000000000000022
