metric,geometric_mean_ratio_csj_over_cs0,log_ratio_sd_across_seeds,seed_ratios,direction_consistent
failure_margin,0.524768191152689,0.020189489710314194,2026:0.51732976;2027:0.53231358,True
failure_gradient_l2,0.3783920760852302,0.05035517194657377,2026:0.36515591;2027:0.39210803,True
linearized_distance,1.3868371574781724,0.030165682808784795,2026:1.4167366;2027:1.3575687,True
spectral_norm,1.0029777156134625,0.04639805121745786,2026:1.0364295;2027:0.97060559,False
normalized_spectral_norm,1.2295615371388002,0.033025732699815555,2026:1.258613;2027:1.2011806,True
centered_logit_rms,0.8157198199479633,0.0133723185366346,2026:0.82346957;2027:0.808043,True
pga_l2_complete_case,1.3123242371231791,0.018849894508811145,2026:1.3299332;2027:1.2949485,True
