arm,seed,clean_accuracy,clean_cross_entropy,failure_margin,failure_gradient_l2,spectral_norm,normalized_spectral_norm,linearized_distance,pga_l2_successful,pga_success_rate,spectral_convergence_rate,clean_correct_samples
CS0,2026,0.945,0.315280921229248,10.00782332607717,0.5843592559090904,0.4859997781372894,0.13335902042934328,17.995029461962307,15.253029904850463,1.0,0.9996666666666667,945.0
CSJ,2026,0.9293333333333335,0.2847508607430694,5.175796912683736,0.21835040865374744,0.5088036823244478,0.16892153199838722,25.694450406925853,20.629742618508214,1.0,0.9986666666666667,929.3333333333334
CS0,2027,0.9486666666666667,0.26730979786670533,9.946705361334928,0.5625621523604694,0.4797897541926918,0.13127541438046228,18.68250234202419,15.616979993220747,1.0,0.9983333333333334,948.6666666666666
CSJ,2027,0.9323333333333333,0.288451879957846,5.277443303882749,0.2242905315778673,0.468679539146073,0.15908810232290518,25.37988894255744,20.51526823982634,1.0,0.9976666666666668,932.3333333333334
