arm,seed,completed_epochs,best_epoch,test_noiseless_accuracy,test_10db_accuracy,test_noiseless_cross_entropy,test_10db_cross_entropy,quality_gate
CS0,2026,200,185,0.9432,0.9429333333333333,0.2949166251182556,0.29492036884625755,True
CSJ,2026,200,141,0.9335,0.9334333333333333,0.29392142610549926,0.293965962823232,True
CS0,2027,200,179,0.9456,0.9450333333333333,0.27211075553894043,0.2723976317087809,True
CSJ,2027,200,136,0.9331,0.9328333333333333,0.2815477337360382,0.28174703717231747,True
