arm,budget_db_per_channel_use,pga_empirical_robust_accuracy_lower_mean,pga_empirical_robust_accuracy_upper_mean,pga_empirical_robust_accuracy_lower_by_seed,pga_empirical_robust_accuracy_upper_by_seed
CSJ,-34,0.9266666666666666,0.9266666666666666,2026:0.925;2027:0.92833333,2026:0.925;2027:0.92833333
CSJ,-33,0.9263333333333333,0.9263333333333333,2026:0.92466667;2027:0.928,2026:0.92466667;2027:0.928
CSJ,-32,0.9263333333333333,0.9263333333333333,2026:0.92466667;2027:0.928,2026:0.92466667;2027:0.928
CSJ,-31,0.9259999999999999,0.9259999999999999,2026:0.92466667;2027:0.92733333,2026:0.92466667;2027:0.92733333
CSJ,-30,0.9256666666666666,0.9256666666666666,2026:0.92466667;2027:0.92666667,2026:0.92466667;2027:0.92666667
CSJ,-29,0.9253333333333333,0.9253333333333333,2026:0.92433333;2027:0.92633333,2026:0.92433333;2027:0.92633333
CSJ,-28,0.9231666666666667,0.9231666666666667,2026:0.92233333;2027:0.924,2026:0.92233333;2027:0.924
CSJ,-27,0.923,0.923,2026:0.92233333;2027:0.92366667,2026:0.92233333;2027:0.92366667
CSJ,-26,0.9218333333333335,0.9218333333333335,2026:0.92066667;2027:0.923,2026:0.92066667;2027:0.923
CSJ,-25,0.9201666666666668,0.9201666666666668,2026:0.919;2027:0.92133333,2026:0.919;2027:0.92133333
CSJ,-24,0.9193333333333333,0.9193333333333333,2026:0.918;2027:0.92066667,2026:0.918;2027:0.92066667
CSJ,-23,0.9183333333333332,0.9183333333333332,2026:0.91733333;2027:0.91933333,2026:0.91733333;2027:0.91933333
CSJ,-22,0.9176666666666666,0.9176666666666666,2026:0.916;2027:0.91933333,2026:0.916;2027:0.91933333
CSJ,-21,0.9176666666666666,0.9176666666666666,2026:0.916;2027:0.91933333,2026:0.916;2027:0.91933333
CSJ,-20,0.9171666666666667,0.9171666666666667,2026:0.91566667;2027:0.91866667,2026:0.91566667;2027:0.91866667
CSJ,-19,0.915,0.915,2026:0.91366667;2027:0.91633333,2026:0.91366667;2027:0.91633333
CSJ,-18,0.9135000000000002,0.9135000000000002,2026:0.91266667;2027:0.91433333,2026:0.91266667;2027:0.91433333
CSJ,-17,0.9108333333333334,0.9108333333333334,2026:0.91033333;2027:0.91133333,2026:0.91033333;2027:0.91133333
CSJ,-16,0.9075,0.9075,2026:0.90766667;2027:0.90733333,2026:0.90766667;2027:0.90733333
CSJ,-15,0.9051666666666668,0.9051666666666668,2026:0.90566667;2027:0.90466667,2026:0.90566667;2027:0.90466667
CSJ,-14,0.902,0.902,2026:0.902;2027:0.902,2026:0.902;2027:0.902
CSJ,-13,0.8998333333333333,0.8998333333333333,2026:0.9;2027:0.89966667,2026:0.9;2027:0.89966667
CSJ,-12,0.8963333333333332,0.8963333333333332,2026:0.897;2027:0.89566667,2026:0.897;2027:0.89566667
CSJ,-11,0.8901666666666668,0.8901666666666668,2026:0.88966667;2027:0.89066667,2026:0.88966667;2027:0.89066667
CSJ,-10,0.8818333333333332,0.8818333333333332,2026:0.87866667;2027:0.885,2026:0.87866667;2027:0.885
CSJ,-9,0.8733333333333334,0.8733333333333334,2026:0.86966667;2027:0.877,2026:0.86966667;2027:0.877
CSJ,-8,0.865,0.865,2026:0.86233333;2027:0.86766667,2026:0.86233333;2027:0.86766667
CSJ,-7,0.8519999999999999,0.8519999999999999,2026:0.85233333;2027:0.85166667,2026:0.85233333;2027:0.85166667
CSJ,-6,0.8373333333333333,0.8373333333333333,2026:0.839;2027:0.83566667,2026:0.839;2027:0.83566667
CSJ,-5,0.8145,0.8145,2026:0.816;2027:0.813,2026:0.816;2027:0.813
CSJ,-4,0.766,0.766,2026:0.77066667;2027:0.76133333,2026:0.77066667;2027:0.76133333
CSJ,-3,0.6719999999999999,0.6719999999999999,2026:0.68133333;2027:0.66266667,2026:0.68133333;2027:0.66266667
CSJ,-2,0.503,0.503,2026:0.50666667;2027:0.49933333,2026:0.50666667;2027:0.49933333
CSJ,-1,0.101,0.101,2026:0.095666667;2027:0.10633333,2026:0.095666667;2027:0.10633333
CSJ,0,0.0025,0.0025,2026:0.0033333333;2027:0.0016666667,2026:0.0033333333;2027:0.0016666667
