seed,repeat,pairwise_common_correct,failure_margin_ratio,failure_margin_pairs,failure_gradient_l2_ratio,failure_gradient_l2_pairs,linearized_distance_ratio,linearized_distance_pairs,spectral_norm_ratio,spectral_norm_pairs,normalized_spectral_norm_ratio,normalized_spectral_norm_pairs,centered_logit_rms_ratio,centered_logit_rms_pairs,pga_l2_complete_case_ratio,pga_l2_complete_case_pairs,pga_success_both,pga_success_cs0_only,pga_success_csj_only,pga_success_neither
2026,0,912,0.5164015647847613,912,0.3654286886864943,912,1.413139090361608,912,1.0379027484181784,912,1.2603587983889937,912,0.8234978401597517,912,1.3302654519073573,912,912,0,0,0
2026,1,915,0.5163400601896013,915,0.3649336561762913,915,1.4148874788972239,915,1.0342088613109546,915,1.256234498121366,915,0.82326099392182,915,1.3254882494693392,915,915,0,0,0
2026,2,911,0.5192529941721724,911,0.365105557851373,911,1.4221996441978717,911,1.0371806978918117,911,1.2592494394825477,911,0.8236499184014897,911,1.3340596325810754,911,911,0,0,0
2027,0,912,0.5314476369479708,912,0.3917862494166158,912,1.3564734275934334,912,0.971406398695704,912,1.2017965285158965,912,0.8082952274783393,912,1.2898490196958154,912,912,0,0,0
2027,1,914,0.532340896126937,914,0.3930051202317128,914,1.3545393413829634,914,0.970809433930137,914,1.201755146610085,914,0.8078263173137646,914,1.294810223533386,914,914,0,0,0
2027,2,912,0.5331535711485894,912,0.391534287125714,912,1.3617034010397917,912,0.969601799785831,912,1.1999910309113377,912,0.8080075390724795,912,1.300206892299936,912,912,0,0,0
