snr_db,samples,channel_repeats,mean_distortion,mean_mse,mean_psnr_db,repeat_std_psnr_db
0.0,2000,1,0.016082439571619034,0.016082439571619034,18.182037353515625,0.0
2.0,2000,1,0.012258043512701988,0.012258043512701988,19.389137268066406,0.0
4.0,2000,1,0.009738949127495289,0.009738949127495289,20.43443489074707,0.0
6.0,2000,1,0.008093896321952343,0.008093896321952343,21.283964157104492,0.0
8.0,2000,1,0.0070332312025129795,0.0070332312025129795,21.946012496948242,0.0
10.0,2000,1,0.006375190336257219,0.006375190336257219,22.414060592651367,0.0
12.0,2000,1,0.005961216986179352,0.005961216986179352,22.742292404174805,0.0
14.0,2000,1,0.005695692729204893,0.005695692729204893,22.968143463134766,0.0
16.0,2000,1,0.005533213727176189,0.005533213727176189,23.112258911132812,0.0
18.0,2000,1,0.0054163397289812565,0.0054163397289812565,23.217823028564453,0.0
20.0,2000,1,0.005351801868528128,0.005351801868528128,23.278335571289062,0.0
