snr_db,samples,channel_repeats,mean_distortion,mean_mse,mean_nmse_db,repeat_std_nmse_db
0.0,20000,5,0.34189140796661377,0.002238071197643876,-4.794650459289551,0.0031365145117700595
5.0,20000,5,0.15767374336719514,0.0010591046884655952,-8.21550464630127,0.003692985006974723
10.0,20000,5,0.09634225219488143,0.0006524150259792805,-10.454069519042969,0.002951840597510829
15.0,20000,5,0.07685216367244721,0.000521062279585749,-11.510783386230468,0.001752542088274404
16.0,20000,5,0.07499350905418396,0.0005084464442916215,-11.627413177490235,0.0016260944805546141
17.0,20000,5,0.07351232767105102,0.0004983702790923416,-11.723119163513184,0.001089807435051504
18.0,20000,5,0.07229525297880172,0.0004901226842775941,-11.80273380279541,0.00043678058806927383
19.0,20000,5,0.07138148248195648,0.00048398638027720154,-11.863697624206543,0.0010645296335613126
20.0,20000,5,0.07061716914176941,0.00047868964611552656,-11.9154483795166,0.0013965942724707852
