snr_db,samples,channel_repeats,mean_distortion,mean_mse,mean_nmse_db,repeat_std_nmse_db
0.0,20000,5,0.22674013376235963,0.0014974779449403286,-6.6220990180969235,0.002945543979612822
5.0,20000,5,0.09425737261772156,0.0006134599796496331,-10.450900459289551,0.004551118277803623
10.0,20000,5,0.05097113773226738,0.0003259411838371307,-13.14262638092041,0.002412149968558603
15.0,20000,5,0.03769186958670616,0.00023886520648375154,-14.480432510375977,0.001619172733610304
16.0,20000,5,0.036465153098106384,0.00023084958957042545,-14.628134155273438,0.0025944065439348577
17.0,20000,5,0.035490071028470994,0.00022450906690210103,-14.750143241882324,0.0011964955322019103
18.0,20000,5,0.0347006618976593,0.0002194040484027937,-14.851116752624511,0.0015893519226816936
19.0,20000,5,0.034087056666612624,0.00021539596491493285,-14.931248092651368,0.0020831779906973886
20.0,20000,5,0.033593914657831195,0.00021221018978394567,-14.996644973754883,0.0013605904058414562
