snr_db,baseline_nmse_db,improved_nmse_db,nmse_gain_db,baseline_repeat_std_db,improved_repeat_std_db
0.0,-4.794650459289551,-6.6220990180969235,1.8274485588073723,0.0031365145117700595,0.002945543979612822
5.0,-8.21550464630127,-10.450900459289551,2.2353958129882816,0.003692985006974723,0.004551118277803623
10.0,-10.454069519042969,-13.14262638092041,2.6885568618774407,0.002951840597510829,0.002412149968558603
15.0,-11.510783386230468,-14.480432510375977,2.9696491241455085,0.001752542088274404,0.001619172733610304
16.0,-11.627413177490235,-14.628134155273438,3.000720977783203,0.0016260944805546141,0.0025944065439348577
17.0,-11.723119163513184,-14.750143241882324,3.0270240783691396,0.001089807435051504,0.0011964955322019103
18.0,-11.80273380279541,-14.851116752624511,3.048382949829101,0.00043678058806927383,0.0015893519226816936
19.0,-11.863697624206543,-14.931248092651368,3.067550468444825,0.0010645296335613126,0.0020831779906973886
20.0,-11.9154483795166,-14.996644973754883,3.081196594238282,0.0013965942724707852,0.0013605904058414562
