arm,checkpoint,epoch,samples,latent_coordinate_std_mean,hidden_relu_active_fraction,logit_across_sample_std_mean,mean_sample_predictive_entropy,unique_predicted_classes,dominant_prediction_fraction,prediction_counts
CS0,best,1,1000,0.14546169340610504,0.00094140625,0.7383440136909485,2.050161838531494,3,0.5699999928474426,0;0;0;0;0;0;0;429;570;1
CS0,last,31,1000,1.762751722367284e-09,0.0,0.0,2.3004963397979736,1,1.0,0;0;0;0;1000;0;0;0;0;0
CS1,best,139,1000,0.9134032130241394,0.27132421875,3.4391391277313232,0.15913721919059753,10,0.10999999940395355,105;89;87;99;103;97;110;99;104;107
CS1,last,169,1000,0.9625263214111328,0.496423828125,3.9469540119171143,0.05967061594128609,10,0.11800000071525574,94;88;105;98;87;95;107;101;118;107
CSJ,best,2,1000,0.33994778990745544,0.001677734375,1.6139297485351562,1.8368949890136719,5,0.38199999928474426,47;0;2;0;0;294;0;275;382;0
CSJ,last,32,1000,5.4073630018081076e-09,0.0,0.0,2.2988474369049072,1,1.0,0;1000;0;0;0;0;0;0;0;0
