arm,snr_db,accuracy,cross_entropy,mean_margin,mean_centered_logit_rms
CS0,noiseless,0.1603,2.111070795059204,-0.5058663529157639,0.7896365492820739
CS0,0,0.1623,2.1490461723963423,-0.646051218064626,0.8347917933146158
CS0,2,0.1621,2.125068192164103,-0.5659647460619609,0.8006901310602824
CS0,4,0.16163333333333332,2.1168729903539023,-0.5263469819863636,0.790554112180074
CS0,6,0.16133333333333333,2.1142278224309283,-0.5086848302205403,0.788155405775706
CS0,8,0.16093333333333334,2.113341845703125,-0.5027902983029683,0.7879825718879699
CS0,10,0.15990000000000001,2.1130304197947187,-0.5024456296602885,0.7883155749320984
CS0,12,0.15916666666666665,2.112767069943746,-0.5036705710808436,0.788627222442627
CS0,14,0.15993333333333334,2.1124164131800334,-0.5048051895459492,0.78884886191686
CS0,16,0.16043333333333332,2.112076395479838,-0.5054494720220566,0.789033006445567
CS0,18,0.1603,2.111772215779622,-0.5057048501094182,0.7892009482701621
CS0,20,0.16026666666666667,2.1115457959493003,-0.5058222118377685,0.7893449002583822
CS1,noiseless,0.9081,0.2987777154922485,5.550971027374268,3.440955779647827
CS1,0,0.9066333333333333,0.30413463265101115,5.540689074198404,3.458629180399577
CS1,2,0.9073666666666668,0.3022051556587219,5.54498722229004,3.452379309463501
CS1,4,0.9070333333333332,0.30097941071192424,5.547569094340006,3.448379085286458
CS1,6,0.9074333333333332,0.30019744237263996,5.549078169250488,3.4458110313415524
CS1,8,0.9074333333333332,0.2996994291305542,5.549963479105632,3.444160829416911
CS1,10,0.9074,0.29938333930969235,5.550468771362304,3.443089796702067
CS1,12,0.9074666666666666,0.2991810709953308,5.550749455769857,3.4423895762125647
CS1,14,0.9076666666666666,0.2990517734527588,5.550896553039551,3.441930464553833
CS1,16,0.9077666666666667,0.2989664637565613,5.550980903116862,3.4416256710052493
CS1,18,0.9077666666666667,0.2989096647898356,5.551027894592285,3.4414218869527176
CS1,20,0.9078666666666667,0.29887058890660606,5.551050022633871,3.441283737182617
CSJ,noiseless,0.2077,1.9888188856124878,-0.4899088336467743,1.4506654161453247
CSJ,0,0.18676666666666666,2.0092180203119914,-0.6163561278502147,1.4896152924219768
CSJ,2,0.19246666666666667,1.9923819061279298,-0.5466153042634327,1.4694637079874673
CSJ,4,0.19513333333333335,1.9869645498911541,-0.5140082103252411,1.4607734701792399
CSJ,6,0.20106666666666664,1.9857354800542195,-0.49999145641326903,1.4567792014439902
CSJ,8,0.20343333333333335,1.9858904083887736,-0.4940604211966197,1.4547218008677163
CSJ,10,0.2055,1.9864624168395997,-0.49158577582041424,1.453494216664632
CSJ,12,0.20650000000000002,1.9870908237457277,-0.49065138992468516,1.4526447670618694
CSJ,14,0.20706666666666665,1.9876151586532593,-0.49027193503379823,1.4519958772023518
CSJ,16,0.2077,1.9880154003779094,-0.49010793307622275,1.4515087354660035
CSJ,18,0.20783333333333331,1.988287096341451,-0.489998814868927,1.4511629023234047
CSJ,20,0.20783333333333331,1.9884764589945476,-0.48994111460049944,1.4509333879470825
