objective,seed,off_cell,on_cell,mean_power_off,mean_power_on,mean_power_ratio_on_over_off,median_power_ratio_on_over_off
reconstruction,2026,R0,R1,5.348160656052642,88.02079024910927,16.458142511013396,18.23729554031545
classification,2026,C0,C1,0.6180485349096771,1.4134502572985956,2.2869567314889925,1.316352967938202
reconstruction,2027,R0,R1,7.39926335727796,103.77826988697052,14.025486710767444,13.664372279556584
classification,2027,C0,C1,1.0178684957258135,1.5539917069623566,1.5267116660824134,1.6605672460552914
reconstruction,2028,R0,R1,5.261090275831521,101.71269755065441,19.333007460051352,20.07481140333118
classification,2028,C0,C1,0.9257856766233528,1.694435882881829,1.8302679828251376,1.8875177908419463
