cell,seed,common_clean_correct_samples,mean_attack_power_total_l2_sq,median_attack_power_total_l2_sq,mean_clean_logit_margin
C0,2026,56,0.6843754011538944,0.49000000953674316,2.1287216522863934
C1,2026,56,1.6851974521996453,0.9957995116710663,1.9593058718102319
C0,2027,65,1.1802708262291093,0.4900004267692566,2.3358101037832406
C1,2027,65,1.8349807046353817,1.1357955932617188,2.7102540786449727
C0,2028,67,1.0426769258537845,0.8099995255470276,2.199981813555333
C1,2028,67,1.99046849264805,1.4400007724761963,2.5174294870291183
