cell,seed,objective,channel_noise,epochs,best_epoch,best_validation_loss,best_validation_metric_name,best_validation_metric,last_validation_loss,last_validation_metric,elapsed_hours
R0,2026,reconstruction,False,1000,5,0.014861147260665893,mse,0.014861147260665893,0.030125234413146972,0.030125234413146972,1.2180000954204135
R0,2027,reconstruction,False,1000,8,0.013295593476295471,mse,0.013295593476295471,0.029372858905792238,0.029372858905792238,1.1577511111895242
R0,2028,reconstruction,False,1000,7,0.014614322328567506,mse,0.014614322328567506,0.02793406734466553,0.02793406734466553,1.1870960481299295
R1,2026,reconstruction,True,1000,942,0.0025143238425254823,mse,0.0025143238425254823,0.0025366050958633424,0.0025366050958633424,1.2016817116075091
R1,2027,reconstruction,True,1000,1000,0.002572766637802124,mse,0.002572766637802124,0.002572766637802124,0.002572766637802124,1.1783941153685251
R1,2028,reconstruction,True,1000,992,0.0025153546690940857,mse,0.0025153546690940857,0.002565283513069153,0.002565283513069153,2.013211086789767
C0,2026,classification,False,1000,20,1.2763217407226561,accuracy,0.5622,5.673652502441406,0.5076,1.4425429374641843
C0,2027,classification,False,1000,20,1.1786351989746093,accuracy,0.5942,4.839049291992188,0.5362,0.9449097751246558
C0,2028,classification,False,1000,20,1.1653468811035157,accuracy,0.6012,5.1695087646484374,0.5214,1.0110207379526561
C1,2026,classification,True,1000,18,1.1804065856933594,accuracy,0.588,2.3018623596191405,0.5648,1.006064122054312
C1,2027,classification,True,1000,29,1.060996304321289,accuracy,0.6332,2.1858232849121095,0.6112,0.974143133295907
C1,2028,classification,True,1000,26,1.0918128204345703,accuracy,0.6232,2.250819451904297,0.5972,1.0410546021991305
