seed,snr_db,r_psnr_gain_db_r1_minus_r0,r_mse_ratio_r1_over_r0,c_accuracy_gain_pp_c1_minus_c0,c_cross_entropy_change_c1_minus_c0
2026,0.0,5.250903129577635,0.308187454903201,9.273335337638855,-0.7247198422749836
2026,2.0,5.982741355895994,0.2610174078337055,7.679998874664312,-0.4721439679463706
2026,4.0,6.650929133097332,0.22458035215904437,5.759999155998235,-0.3106713692347207
2026,6.0,7.202328999837238,0.19886832149637942,4.353334506352735,-0.2000450293223064
2026,8.0,7.638870875040691,0.18056427139896003,2.626667420069373,-0.12852986653645826
2026,10.0,7.943082173665367,0.16878623684810934,1.6299982865651486,-0.08692459265391039
2026,12.0,8.140199025472004,0.16146158890066425,1.5633344650268555,-0.05775956312815356
2026,14.0,8.270593643188477,0.1567365835595659,0.7933338483174679,-0.03410979111989332
2026,16.0,8.346394220987953,0.1539497498828173,0.39333303769429895,-0.02491891384124756
2026,18.0,8.394784927368164,0.15219112755463668,0.11999805768330152,-0.01824963092803955
2026,20.0,8.421761830647789,0.15113326153699344,-0.04000067710876465,-0.012512524922688728
2027,0.0,5.238897641499836,0.3273507617850059,7.503331700960797,-0.3689687252044678
2027,2.0,6.062035242716471,0.2683915395668508,6.826665004094446,-0.28214172522226977
2027,4.0,6.756141662597658,0.22603949944319165,5.97666700681051,-0.20871400833129883
2027,6.0,7.190248489379883,0.20364589181841972,4.92999951044718,-0.1517281929651897
2027,8.0,7.382187525431316,0.19470791649347832,4.536666472752893,-0.12742873032887791
2027,10.0,7.41977818806966,0.1931139213219644,4.0633320808410645,-0.10163839658101392
2027,12.0,7.367544809977215,0.19521248456463652,3.5333355267842537,-0.09194703896840406
2027,14.0,7.285430908203125,0.1982550564045846,3.45666607220968,-0.08305704593658447
2027,16.0,7.20309511820475,0.20121582532491145,3.313334782918287,-0.07614429791768385
2027,18.0,7.132220586140949,0.2036745462663876,3.0866702397664314,-0.07042245070139574
2027,20.0,7.079778671264648,0.2054785431592426,3.0033310254414913,-0.07075917720794678
2028,0.0,5.482807795206705,0.2974514102780865,6.193332870801294,-0.3133639097213745
2028,2.0,6.360684076944986,0.24233114839760433,4.936665296554565,-0.2001049518585205
2028,4.0,7.0882050196329764,0.20551325355984768,4.243334134419752,-0.14019620418548584
2028,6.0,7.585517883300781,0.18422848474061126,3.4633318583170536,-0.10213653246561671
2028,8.0,7.855405807495117,0.17423535737866572,2.6433348655700684,-0.0714304049809773
2028,10.0,7.94134012858073,0.17154298115551783,1.940000057220459,-0.050331711769104004
2028,12.0,7.908487319946289,0.17309525966273623,1.8466651439666748,-0.040976206461588394
2028,14.0,7.8210576375325545,0.17633088995490595,1.5366653601328495,-0.03403727213541652
2028,16.0,7.718861897786457,0.1799239701225638,1.5799979368845696,-0.027484774589538574
2028,18.0,7.6250152587890625,0.18304500906443746,1.7500003178914425,-0.02566870053609205
2028,20.0,7.548986434936523,0.18547230964320047,1.4733314514160156,-0.021481434504191155
