seed,common_clean_correct_samples,c0_mean_power,c1_mean_power,ratio_of_mean_power_c1_over_c0,median_per_sample_power_ratio_c1_over_c0
2026,56,0.6843754011538944,1.6851974521996453,2.4623875278952316,1.9779412100569291
2027,65,1.1802708262291093,1.8349807046353817,1.5547115660716864,1.9534839141930556
2028,67,1.0426769258537845,1.99046849264805,1.9089983131814074,2.012058252306818
