epoch,train_mse,validation_mse,validation_snr_db,elapsed_seconds
1,0.055609867160320285,0.03216747696399689,10.0,5.500911235809326
2,0.02277486572265625,0.01871356100142002,10.0,10.244140863418579
3,0.0171001427680254,0.01571135851740837,10.0,14.880767583847046
4,0.014436271123290063,0.012536099526286126,10.0,19.548040628433228
5,0.011627447835505008,0.010721901938319206,10.0,24.369580507278442
6,0.01035405826151371,0.009916765747964382,10.0,29.006609439849854
7,0.009582410521507264,0.009202172249555588,10.0,33.64461159706116
8,0.009014100346565246,0.009502418866753579,10.0,38.257755517959595
9,0.008624648119807243,0.00862984395623207,10.0,42.946391344070435
10,0.008241986979544163,0.00815205830335617,10.0,47.61591029167175
11,0.007975532597601413,0.007745174935460091,10.0,52.36050748825073
12,0.00770878799200058,0.007497559127211571,10.0,57.19958138465881
13,0.007483121723681688,0.007544497980177403,10.0,61.89897322654724
14,0.007337607624232769,0.007349369730055332,10.0,66.71447515487671
15,0.007139203734099865,0.007062062147259712,10.0,71.45524859428406
16,0.006969827156066894,0.006791208343952894,10.0,76.90606379508972
17,0.006950931825339794,0.006679851127415895,10.0,83.20472526550293
18,0.006682835012674332,0.006578286950290203,10.0,88.32013702392578
19,0.006587677070945501,0.006478363686800003,10.0,93.58806824684143
20,0.006463128111213446,0.006448700766265392,10.0,98.89060735702515
21,0.006395010916739702,0.006251116502285004,10.0,103.9938542842865
22,0.006267073811590671,0.006146541078388691,10.0,109.19966101646423
23,0.006222483924031258,0.0061466577865183355,10.0,114.98314690589905
24,0.0060995465005934234,0.0059850921139121055,10.0,121.61418771743774
25,0.006055502007752657,0.006011775366961956,10.0,128.0796275138855
26,0.0059597347913682465,0.0060425446853041645,10.0,134.89741277694702
27,0.005895501336008311,0.005823479335010052,10.0,141.20886373519897
28,0.005839471312910318,0.005912686528265476,10.0,146.6015453338623
29,0.005818684397190809,0.005683143497258424,10.0,152.31075835227966
30,0.0056818617753684525,0.005615710633248091,10.0,159.19971203804016
